cluster,module,status,sources,lean_mode,missing_pieces
canonical.odd_backbone,D5/Canonical/Backbone.lean,promoted theorem,"RoundY/theorem/d5_082, d5_083, d5_099, d5_106",Axiomize exported interface now; later replace with exact manuscript statement and proof.,"Need the final exported Lean statement for the accepted package; need precise formal objects for the bridge language (`beta`, `rho`, `delta`)."
canonical.frontend_T0_T4,D5/Canonical/FrontEnd.lean,promoted theorem,RoundY README; theorem cluster 219–233 via d5_082,Reserve theorem names and assumptions; later extract exact statements from the promoted TeX notes.,Need exact theorem statements from the TeX notes; this pass did not re-read 219–233 line-by-line.
canonical.graph_color4_G1_G2,D5/Canonical/GraphSide.lean,promoted theorem,d5_082; promoted 234/236/245/247 cluster,"Same as T0–T4: interface first, proof import later.",Need exact splice/transport theorem statements in machine-readable form.
canonical.graph_color3_routeE,D5/Canonical/GraphSide.lean,promoted theorem,RoundY README; d5_082 summary of 256–266,Keep as a closed imported package until the exact final theorem statement is extracted.,This pass did not audit 256–266 individually; exact theorem text still needs extraction.
canonical.small_odd_residual,D5/Canonical/Residual/PromotedCollar.lean,closed working block,"d5_284, d5_303",Treat as imported closed block; formalize only after exact theorem boundary is frozen.,"Need the exact formal statement for the small odd packet closure, not only the status summary."
canonical.nonresonant_residual,D5/Canonical/Residual/PromotedCollar.lean,closed working theorem,"d5_284, d5_303",Imported interface now; proof later.,"Need the exact theorem statement and range hypotheses for odd `m >= 11`, `3 ∤ m`."
canonical.promoted_collar_local_dynamics,D5/Canonical/Residual/PromotedCollar.lean,promoted theorem,d5_286,Formalize directly once the section-return map and `chi`-support are defined.,"Need the exact Lean definitions of the width-1 / width-3 / promoted-collar returns and the indicator fields (`alpha`, `beta`, `chi`, etc.)."
canonical.base_section_reduction_no_go,D5/Canonical/Residual/PromotedCollar.lean,checked exact,d5_289,Certificate-first: represent the checked moduli and cycle decompositions as finite data before attempting a uniform proof.,"Only checked on `m = 21,27,33,39,51`; not yet an all-`m` theorem."
canonical.late_atlas_routing_promotions,D5/Canonical/Residual/PostHinge.lean,checked exact,"d5_297, d5_298, d5_299, d5_303","Model as checked ledgers/certificates, not as promoted theorems.",No theorem-level all-`m` late central/flank law yet; only atlas/routing/promotion evidence.
canonical.Hm_master_hinge,D5/Canonical/Residual/HmCore.lean,promoted theorem,d5_300,High-priority direct formalization target.,"Need exact formal definitions for processed pre-hinge states, `J_0`, `eta_0`, and the first-hinge map `Xi_m`."
canonical.lower_to_hinge_chain,D5/Canonical/Residual/HmCore.lean,promoted theorem-order chain,"d5_301, d5_302, d5_303",Package as a chain of imported lemmas ending in `d5_300`.,"Need the theorem decomposition beneath `d5_302`; the chain note itself is a map, not a theorem."
canonical.post_hinge_doubletop_stitching,D5/Canonical/Residual/PostHinge.lean,open frontier,"d5_301, d5_303",Do not axiomatize as closed; keep as TODO statements.,"Missing theorem-level double-top phase-exit, `H_m -> B_m` stitching, and theorem-level late central/flank organization."
canonical.B_active_gate,D5/Canonical/Residual/PostHinge.lean,open frontier,d5_303,Separate TODO branch.,No promoted theorem yet; no safe proof import boundary.
routeY.generic_late_arithmetic_core,D5/RouteYExistence/GenericLate.lean,promoted arithmetic core,"RouteY-Existence README; MAIN_FLOW; CURRENT_STATUS; generic-late theorem notes (7-split, odometer reduction, defect three-block, reduced base machine, split conjugacy)","Formalize as a separate arithmetic lane, explicitly outside the canonical RoundY frontier.","Need exact definitions of `p_gen`, `P_t`, `g_t`, `N_t`, defect cycle indexing, and the seam-surgery model object."
routeY.global_cycle_theorem,D5/RouteYExistence/GenericLate.lean,open frontier,RouteY-Existence README; MAIN_FLOW; CURRENT_STATUS,Keep open.,The global cycle theorem for the seam-glued reduced machine is still missing.
common.theorem_floor,D5/Common/M15r9/TheoremFloor.lean,support-lane promoted theorem floor,Apr 1 archive: CURRENT_FRONTIER_AND_START_HERE_2026-04-01; d5_15r9_master_theorem_spine_common_vs_quotient_2026-04-01; d5_zero_drift_common_proof_dependency_clean_reduction_2026-03-31; d5_15r9_translation_theorem_seed_permutation_pullback_2026-04-01,High-priority interface formalization: this is the floor used by the newer common packets.,"Need one normalized namespace for `R_re`, `beta_m`, `beta_tilde`, source lines, packet families, and seed/collar maps."
common.return_surface_separation,D5/Core/Interfaces.lean,promoted formulation boundary,Apr 1 spine note (`R_re` vs `R_q`),Define both return conventions before any theorem import.,"If this separation is skipped, later low-branch statements become ill-typed or falsely identified."
common.stable_packet_exact_classification,D5/Common/M15r9/StablePacket.lean,promoted exact stable theorem on the stable core,d5_common_beta_m_15r9_all_residue_families_full_stable_packet_and_exact_classification_2026-04-04; d5_common_branch_frontier_recut_after_full_stable_m15r9_packet_completion_2026-04-04,Formalize directly: one of the best current targets above the theorem floor.,Need a uniform Lean definition of the stable residual core and the exact partition predicate for the two packet geometries.
common.channel_quotient_compression,D5/Common/M15r9/Compression.lean,checked exact,d5_common_branch_frontier_recut_after_checked_channel_quotient_compression_2026-04-04; d5_common_beta_m_15r9_all_residue_families_channel_quotient_compression_check_report_2026-04-04.txt,Certificate-first; later compress to theorem.,Still checked-only; no promoted proof that the stable packet glues into exactly two residual cycles with the six affine length laws.
common.portal_denom16_6_14,D5/Common/M15r9/Portal/Denom16.lean,promoted explicit local theorem sector,d5_common_beta_m_15r9_r16u_plus_6_and_14_explicit_stable_portal_local_theorem_sector_2026-04-04,Suitable for direct theorem import plus finite word data.,"Need actual Lean data for portal words, seam-shift alphabet, and exit laws."
common.portal_denom16_2_10,D5/Common/M15r9/Portal/Denom16.lean,explicit finite local packet (mixed handwritten/table-driven),d5_common_beta_m_15r9_r16u_plus_2_and_10_shared_lexicon_full_ordered_portal_word_normal_form_from_explicit_finite_interior_table_and_handwritten_terminal_exit_theorem_2026-04-05,Data-driven proof first; later compress to a short theorem.,Interior transport is still carried by a 501-row finite table; the conceptual seam/gluing theorem is not yet extracted.
common.portal_denom8_8s,D5/Common/M15r9/Portal/Denom8.lean,checked portal packet,d5_common_beta_m_15r9_denominator_8_sector_exact_portal_transducers_and_block_projection_splice_2026-04-05,Treat as checked data until the handwritten theorem is extracted.,Still missing a handwritten local theorem for the portal words and portal exits.
common.portal_denom8_8s4,D5/Common/M15r9/Portal/Denom8.lean,explicit local packet with reduced handwritten frontier,d5_common_beta_m_15r9_r8s_plus_4_full_ordered_portal_word_normal_form_from_interior_table_and_handwritten_exit_theorem_2026-04-05; d5_common_beta_m_15r9_r8s_plus_4_interior_transport_reduced_to_four_master_tapes_plus_eleven_seam_laws_2026-04-05,Formalize the handwritten parts now; isolate the remaining master-tape transport theorem as the only open local gap.,"Need the four master-tape transport theorem (`A,C,B,D`); without it the interior side remains table-driven."
common.seed_integration_and_outlier,D5/Common/M15r9/Compression.lean,checked finite appendix,d5_common_branch_frontier_recut_after_full_stable_m15r9_packet_completion_2026-04-04,Keep separate from the stable theorem.,"Stable classifier matches low seeds `m=39,69,129`, but `m=9` remains an outlier/appendix case."
common.global_quotient_promotion,D5/Common/M15r9/Compression.lean,open frontier,CURRENT_FRONTIER_AND_START_HERE_2026-04-05_AFTER_COMMON_FULL_STABLE_RESIDUE_SECTOR_PORTAL_PACKET_COVERAGE; d5_common_branch_frontier_recut_after_denominator_8_sector_explicit_portal_transducer_promotion_2026-04-05,Open TODO statements only.,Need a global quotient theorem showing that the explicit portal machines project to the checked residual cycles and affine length laws.
